,행정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
137,방화동,2,68913.0,2.9022100329400838e-05,0.002902210032940084
138,관철동,2,244.0,0.00819672131147541,0.819672131147541
139,합정동,2,16338.0,0.00012241400416207614,0.012241400416207615
140,남대문로5가,2,694.0,0.002881844380403458,0.2881844380403458
141,망우동,2,52120.0,3.837298541826554e-05,0.003837298541826554
142,다동,2,64.0,0.03125,3.125
143,신문로1가,2,74.0,0.02702702702702703,2.7027027027027026
144,장지동,2,43216.0,4.6279155868196966e-05,0.004627915586819697
145,고덕동,2,46758.0,4.277342914581462e-05,0.004277342914581462
146,도곡동,2,53215.0,3.758338814244104e-05,0.0037583388142441044
147,문정동,2,61417.0,3.256427373528502e-05,0.0032564273735285016
148,신내동,2,57453.0,3.481106295580736e-05,0.003481106295580736
149,성북동1가,2,1832.0,0.001091703056768559,0.10917030567685589
150,충정로1가,2,,,
151,화양동,2,23193.0,8.623291510369507e-05,0.008623291510369507
152,월계동,2,74760.0,2.6752273943285178e-05,0.002675227394328518
153,종로6가,2,460.0,0.004347826086956522,0.43478260869565216
154,이문동,2,37164.0,5.381552039608223e-05,0.005381552039608223
155,홍은동,2,50700.0,3.944773175542406e-05,0.003944773175542406
156,용산동2가,2,8910.0,0.0002244668911335578,0.022446689113355782
157,대방동,2,35638.0,5.611987204669173e-05,0.005611987204669173
158,용산동6가,2,,,
159,우이동,2,10657.0,0.0001876700760063808,0.01876700760063808
160,현저동,2,5084.0,0.0003933910306845004,0.03933910306845004
161,종암동,2,37683.0,5.3074330600005305e-05,0.005307433060000531
162,서계동,2,4812.0,0.00041562759767248546,0.04156275976724855
163,갈월동,2,2748.0,0.000727802037845706,0.0727802037845706
164,청파동2가,2,3306.0,0.0006049606775559589,0.06049606775559589
165,서린동,2,2.0,1.0,100.0
166,신촌동,2,838.0,0.002386634844868735,0.23866348448687352
167,장안동,2,70078.0,2.8539627272467823e-05,0.002853962727246782
168,체부동,2,693.0,0.002886002886002886,0.2886002886002886
169,당산동3가,2,8941.0,0.0002236886254333967,0.02236886254333967
170,거여동,2,52677.0,3.7967234276819106e-05,0.003796723427681911
171,우면동,2,27411.0,7.296340885046149e-05,0.0072963408850461485
172,을지로7가,2,49.0,0.04081632653061224,4.081632653061225
173,청파동3가,2,3541.0,0.0005648121999435188,0.05648121999435188
174,창전동,2,14683.0,0.0001362119457876456,0.013621194578764559
175,동선동3가,2,2867.0,0.0006975933031042902,0.06975933031042902
176,숭인동,2,15603.0,0.00012818047811318336,0.012818047811318336
177,흥인동,1,2266.0,0.000441306266548985,0.0441306266548985
178,신대방동,1,45320.0,2.206531332744925e-05,0.002206531332744925
179,충정로3가,1,4936.0,0.0002025931928687196,0.02025931928687196
180,석관동,1,33790.0,2.959455460195324e-05,0.0029594554601953243
181,명동1가,1,11.0,0.09090909090909091,9.090909090909092
182,장위동,1,52017.0,1.9224484303208567e-05,0.0019224484303208566
183,평동,1,1563.0,0.0006397952655150352,0.06397952655150352
184,의주로2가,1,8.0,0.125,12.5
185,상도1동,1,9631.0,0.00010383137784238397,0.010383137784238397
186,동작동,1,5553.0,0.00018008283810552856,0.018008283810552854
187,노고산동,1,5832.0,0.00017146776406035664,0.017146776406035662
188,마장동,1,21573.0,4.6354239095165254e-05,0.004635423909516525
189,송현동,1,,,
190,서울숲길,1,,,
191,동소문동1가,1,922.0,0.0010845986984815619,0.10845986984815618
192,관수동,1,383.0,0.0026109660574412533,0.26109660574412535
193,상일동,1,51053.0,1.958748751297671e-05,0.0019587487512976714
194,오금로1,1,,,
195,구기동,1,5766.0,0.0001734304543877905,0.01734304543877905
196,남산동2가,1,495.0,0.00202020202020202,0.20202020202020202
197,석촌동,1,30766.0,3.2503412858350125e-05,0.0032503412858350123
198,역삼로7길,1,,,
199,동소문동2가,1,507.0,0.0019723865877712033,0.19723865877712032
200,훈정동,1,,,
201,인현동1가,1,79.0,0.012658227848101266,1.2658227848101267
202,금호동3가,1,12217.0,8.185315543914218e-05,0.008185315543914218
203,양평동5가,1,5892.0,0.00016972165648336727,0.016972165648336725
204,항동,1,16335.0,6.121824303642486e-05,0.006121824303642486
205,용산동5가,1,2379.0,0.0004203446826397646,0.04203446826397646
